name,region,is__cronicas,media__associated,is__featured,url
Adamuz,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/adamuz/
Aguilar de la Frontera,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/aguilar/
Alcaracejos,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/alcaracejos/
Alhaurín De La Torre,Andalucía,FALSE,laopiniondemalaga,TRUE,https://www.laopiniondemalaga.es/malaga/alhaurin-de-la-torre/
Alhaurín El Grande,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/alhaurin-el-grande/
Almedinilla,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/almedinilla/
Almodóvar del Río,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/almodovar/
Antequera,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/antequera/
Añora,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/anora/
Archidona,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/archidona/
Baena,Andalucía,FALSE,diariocordoba,TRUE,https://www.diariocordoba.com/cordoba/baena/
Belalcázar,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/belalcazar/
Belmez,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/belmez/
Benalmádena,Andalucía,FALSE,laopiniondemalaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/benalmadena/
Benamejí,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/benameji/
Bujalance,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/bujalance/
Cabra,Andalucía,TRUE,diariocordoba,TRUE,https://www.diariocordoba.com/cordoba/cabra/
Campillos,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/campillos/
Cañete de las Torres,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/canete/
Carcabuey,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/carcabuey/
Cardeña,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/cardena/
Cártama,Andalucía,TRUE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/cartama/
Castro del Río,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/castro-rio/
Coín,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/coin/
Comarca de Antequera,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/malaga/comarca-antequera/
Conquista,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/conquista/
Córdoba,Andalucía,FALSE,diariocordoba,TRUE,https://www.diariocordoba.com/cordoba/cordoba/
Costa del Sol Occidental,Andalucía,FALSE,laopiniondemalaga,FALSE,https://www.laopiniondemalaga.es/costa-sol-occidental/
Crónica del Centro,Andalucía,TRUE,diariocordoba,FALSE,https://www.diariocordoba.com/cronica-del-centro/
Doña Mencía,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/dona-mencia/
Dos Torres,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/dos-torres/
El Carpio,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/carpio/
El Guijo,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/guijo/
El Viso de los Pedroches,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/viso/
Encinas Reales,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/encinas-reales/
Espejo,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/espejo/
Espiel,Andalucía,FALSE,diariocordoba,FALSE,https://www.diariocordoba.com/cordoba/espiel/
