item,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Adamuz,AND0001,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/adamuz/,FALSE,
Aguilar de la Frontera,AND0002,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/aguilar/,FALSE,
Alcaracejos,AND0003,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/alcaracejos/,FALSE,
Alhaurín De La Torre,AND0004,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/alhaurin-de-la-torre/,FALSE,
Alhaurín El Grande,AND0005,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/alhaurin-el-grande/,FALSE,
Almedinilla,AND0006,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/almedinilla/,FALSE,
Almodóvar del Río,AND0007,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/almodovar/,FALSE,
Antequera,AND0008,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/antequera/,FALSE,
Añora,AND0009,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/anora/,FALSE,
Archidona,AND0010,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/archidona/,FALSE,
Baena,AND0011,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/baena/,FALSE,
Belalcázar,AND0012,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/belalcazar/,FALSE,
Belmez,AND0013,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/belmez/,FALSE,
Benalmádena,AND0014,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/benalmadena/,FALSE,
