media,item_update,preselection_intro,headband_proximity,searchbox_intro,quienes_somos_intro,quienes_somos_fondos_publicos,quienes_somos_ingresos_publicidad
diaridegirona,20/11/2025,"**Diari de Girona**, de Prensa Ibèrica, la xarxa d’informació local més gran d’Espanya. **Explora les localitats destacades**, cerca la teva o marca-la com a preferida per accedir ràpidament al que més t’importa.",A prop de la teva població,Més d’un miler de localitats a tota Espanya.,"Per donar compliment al que s'estableix a la Llei 34/2002, de l'11 de juliol, de serveis de la societat de la informació i de comerç electrònic (“LSSI”) i al Reglament Europeu 2024/1083, sobre la Llibertat dels Mitjans de Comunicació (“EMFA”, per les seves sigles en anglès), a continuació s'indiquen les dades d'informació general d'aquest lloc web:",Import total anual brut de fons públics destinats a publicitat institucional assignats en l'exercici anterior (2024):,Import total anual brut dels ingressos per publicitat rebuts d’autoritats o entitats públiques de tercers països en l’exercici anterior (2024):
diariocordoba,20/11/2025,"**Diario de Córdoba**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024): ,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
diariodeibiza,20/11/2025,"**Diario de Ibiza**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024)
diariodemallorca,20/11/2025,"**Diario de Mallorca**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
elcorreodeandalucia,20/11/2025,"**El Correo de Andalucía**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
elcorreogallego,20/11/2025,"**El Correo Gallego**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
eldia,20/11/2025,"**El Día - La Opinión de Tenerife**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
elperiodicodearagon,20/11/2025,"**El Periódico de Aragón**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
elperiodicodecatalunya,20/11/2025,"**El Periódico**, de Prensa Ibèrica, la xarxa d’informació local més gran d’Espanya. **Explora les localitats destacades**, cerca la teva o marca-la com a preferida per accedir ràpidament al que més t’importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
elperiodicodeespana,20/11/2025,"**El Periódico de España**, de Prensa Ibérica, la mayor red de información local en España. Explora las localidades destacadas, **busca la tuya o márcala como favorita** para acceder rápido a lo que más te importa.",Busca tu población ,Más de mil localidades en toda España. ,"Para dar cumplimiento a lo establecido en la Ley 34/2002, de 11 de julio, de servicios de la sociedad de la información y de comercio electrónico (“LSSI”) y en el Reglamento Europeo 2024/1083, sobre la Libertad de los Medios de Comunicación (“EMFA” por sus siglas en inglés), a continuación se indican los datos de información general de este sitio web:",Importe total anual bruto de fondos públicos destinados a publicidad estatal asignados en el ejercicio anterior (2024):,Importe total anual bruto de los ingresos de la publicidad recibidos de autoridades o entidades públicas de terceros países en el ejercicio anterior (2024):
