item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Adamuz,14001,AND0001,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/adamuz/?utm_campaign=cerca-v1,FALSE,
Aguilar de la Frontera,14002,AND0002,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/aguilar/?utm_campaign=cerca-v1,FALSE,
Alcaracejos,14003,AND0003,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/alcaracejos/?utm_campaign=cerca-v1,FALSE,
Alhaurín De La Torre,29007,AND0004,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/alhaurin-de-la-torre/?utm_campaign=cerca-v1,FALSE,
Alhaurín El Grande,29008,AND0005,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/alhaurin-el-grande/?utm_campaign=cerca-v1,FALSE,
Almedinilla,14004,AND0006,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/almedinilla/?utm_campaign=cerca-v1,FALSE,
Almodóvar del Río,14005,AND0007,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/almodovar/?utm_campaign=cerca-v1,FALSE,
Antequera,29015,AND0008,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/antequera/?utm_campaign=cerca-v1,FALSE,
Añora,14006,AND0009,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/anora/?utm_campaign=cerca-v1,FALSE,
Archidona,29017,AND0010,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/archidona/?utm_campaign=cerca-v1,FALSE,
Baena,14007,AND0011,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/baena/?utm_campaign=cerca-v1,FALSE,
Belalcázar,14008,AND0012,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/belalcazar/?utm_campaign=cerca-v1,FALSE,
Belmez,14009,AND0013,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/belmez/?utm_campaign=cerca-v1,FALSE,
Benalmádena,29025,AND0014,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/benalmadena/?utm_campaign=cerca-v1,FALSE,
Benamejí,14010,AND0015,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/benameji/?utm_campaign=cerca-v1,FALSE,
Bujalance,14012,AND0016,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/bujalance/?utm_campaign=cerca-v1,FALSE,
Cabra,14013,AND0017,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/cabra/?utm_campaign=cerca-v1,FALSE,
Campillos,29032,AND0018,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/campillos/?utm_campaign=cerca-v1,FALSE,
Cañete de las Torres,14014,AND0019,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/canete/?utm_campaign=cerca-v1,FALSE,
Carcabuey,14015,AND0020,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/carcabuey/?utm_campaign=cerca-v1,FALSE,
Cardeña,14016,AND0021,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/cardena/?utm_campaign=cerca-v1,FALSE,
Cártama,29038,AND0022,14/07/2025,Andalucía,AND,TRUE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/cartama/?utm_campaign=cerca-v1,FALSE,
Castro del Río,14019,AND0023,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/castro-rio/?utm_campaign=cerca-v1,FALSE,
Coín,29042,AND0024,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/coin/?utm_campaign=cerca-v1,FALSE,
Comarca de Antequera,34_01_29_01,AND0025,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/comarca-antequera/?utm_campaign=cerca-v1,FALSE,
Conquista,14020,AND0026,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/conquista/?utm_campaign=cerca-v1,FALSE,
Costa del Sol Occidental,34_01_29_04,AND0028,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/costa-sol-occidental/?utm_campaign=cerca-v1,FALSE,
Crónica del Centro,14021_001,AND0029,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cronica-del-centro/?utm_campaign=cerca-v1,FALSE,
Doña Mencía,14022,AND0030,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/dona-mencia/?utm_campaign=cerca-v1,FALSE,
Dos Torres,14023,AND0031,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/dos-torres/?utm_campaign=cerca-v1,FALSE,
El Carpio,14018,AND0032,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/carpio/?utm_campaign=cerca-v1,FALSE,
El Guijo,14034,AND0033,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/guijo/?utm_campaign=cerca-v1,FALSE,
