media_name,item_update,region_name,region_code,media,legal_name,address,registration_details,cif_id,phone_number,email,general_director,staff_director,account_holder,indirect_owner,importe_neto_fondos,importe_neto_publicidad,url
Diario Córdoba,28/07/2025,Andalucía,AND,diariocordoba,"DIARIO CORDOBA, S.A.U.","Ingeniero Juan De La Cierva 18, Córdoba","Registro Mercantil de Córdoba, Tomo 248, Folio 67, Hoja CO-4.128",,957 420 302,cordoba1@elperiodico.es,,Rafael Romero,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.385.251,00 € ",0 €,https://www.diariocordoba.com/
El Correo de Andalucía,28/07/2025,Andalucía,AND,elcorreodeandalucia,"PRENSA IBERICA NETWORK, S.L.U.","Avda. República Argentina, 26, 1º-C 41011, Sevilla","Registro Mercantil de Sevilla, Tomo 7556, Folio 175, Hoja n° SE-143470, Inscripción 1ª",,954 10 99 10,,,Isabel Morillo ,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  273.426,00 € ",0 €,https://www.elcorreoweb.es/
La Opinión de Málaga,28/07/2025,Andalucía,AND,laopiniondemalaga,"LA OPINION DE MALAGA, S.L.U.","Calle Salvago, 3, 3ª planta - 29005 Málaga","Registro Mercantil de Málaga, Tomo 3.439, Folio 160, Hoja MA-34.188",, 952 126 200,laopiniondemalaga.rd1@epi.es,,José Ramón Mendaza,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  911.934,00 € ",0 €,https://www.laopiniondemalaga.es/
El Periódico de Aragón,28/07/2025,Aragón,AR,elperiodicodearagon,"PRENSA DIARIA ARAGONESA, S.A.U.","Hernán Cortés, 37, Zaragoza","Registro Mercantil de Zaragoza, Tomo 956, Folio 167, Hoja Z-320",,976 700 400,eparagon@elperiodico.com,,Ricardo Barceló,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.558.366,00 € ",0 €,https://www.elperiodicodearagon.com/
La Nueva España,28/07/2025,Asturias,AST,lanuevaespana,"EDITORIAL PRENSA ASTURIANA, S.A.U.","Calle Leopoldo Calvo-Sotelo, 7. 33007. Oviedo","Registro Mercantil de Asturias, Tomo 1260, Folio 35, Hoja AS-4115",, 985 279 700,pam@lne.es,Ángeles Rivero Velasco,Eloy Méndez Martínez,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.638.284,00 € ",0 €,https://www.lne.es/
El Día,28/07/2025,Canarias,CAN,eldia,"EDITORIAL LEONCIO RODRIGUEZ, S.A.U.","Avda. Buenos Aires, 71, 38005, Santa Cruz de Tenerife.","Registro Mercantil de Santa Cruz de Tenerife, Hoja TF-6921 Tomo 1007 Folio 112",,922 23 83 00,eldiadigital@eldia.es,,Dunia E. Torres,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.471.390,00 € ",0 €,https://www.eldia.es/
La Provincia,28/07/2025,Canarias,CAN,laprovincia,"EDITORIAL PRENSA CANARIA, S.A.","Alcalde Ramírez Bethencourt, 8. 35003. Las Palmas de Gran Canaria","Registro Mercantil de Las Palmas de Gran Canaria, RM Las Palmas de G.C., Libro 16 de sociedades, Folio 216, Hoja 510",,928 479 400,laprovincia@epi.es,,Fernando Canellada,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.947.654,00 € ",0 €,https://www.laprovincia.es/
La Opinión de Zamora,28/07/2025,Castilla y León,CYL,laopiniondezamora,"LA OPINION DE ZAMORA, S.A.U.","Rúa de los Francos, 20. Zamora","Registro Mercantil de Zamora, Tomo 158, Libro 0, Folio 54, Sección 8ª, Hoja ZA-2765, Inscripción 29",,980 534 760,laopinionzamora.rdc@epi.es,,Begoña Galache Fonseca,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  744.677,00 € ",0 €,https://www.laopiniondezamora.es/
Diari de Girona,28/07/2025,Cataluña,CA,diaridegirona,"DIARI DE GIRONA, S.A.U.","Passeig General Mendoza, 2. 17002. Girona","Registro Mercantil de Girona, Tomo 1652, Folio 61, Hoja GI- 25099",,972 202 066,diaridegirona@ddg.cat,,Josep Callol i Duran,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  824.935,00 € ",0 €,https://www.diaridegirona.cat/
El Periódico,28/07/2025,Cataluña,CA,elperiodicodecatalunya,"EL PERIODICO DE CATALUNYA, S.L.U.","Av. Gran Via de l’Hospitalet, 163-167. L’Hospitalet de Llobregat (Barcelona)","Registro Mercantil de Barcelona, Tomo 44737, Folio 202, Hoja B-464885, Inscripción 1ª",,932 655 353 – 915 869 700,usuariosweb@elperiodico.com,,Albert Sáez,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  7.133.790,04 € ",0 €,https://www.elperiodico.com/es/
