item,body_class,item_update,region_name,region_code,ds__group,is_combinable,is_associated,media_associated
Apartura 100%,apertura100,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Article Preview,article-preview,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Board Preview,board-preview,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Cerca,cerca,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Cerca Config,cerca-config,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Cerca Feed,cerca-feed,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Compras,compras,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Cuore
Compras,compras,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Stilo
Compras,compras,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Woman
Cuore,cuore,12/02/2026,ALL,ALL,REVISTAS,FALSE,FALSE,
Directo,directo,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Directo Deportivo,directodeportivo,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
DS Logged,ds-logged,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Editorial,editorial,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Escaparate Cerca,escapate_cerca,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Viajar
Explicativa,explicativa,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Fourty,fourty,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Galería Horizontal,galeriah,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Galería Vertical,galeriav,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Minimal Header,minimal-header,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Multimedia Debajo del Titular,multimediadebajotitular,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Noticia,noticia,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Opinión,opinion,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Pasatiempos,pasatiempos,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Cuore
Pasatiempos,pasatiempos,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Stilo
Pasatiempos,pasatiempos,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Viajar
Pasatiempos,pasatiempos,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Woman
Portada,portada,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Portadilla Automática,portadilla-automatica,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Portadilla Manual,portadilla-manual,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Premium,premium,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Reportaje,reportaje,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Shopping,shopping,12/02/2026,ALL,ALL,REVISTAS,FALSE,TRUE,Woman
Skin,ft-skin,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Skin Cerca,ft-skin--cerca,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Skin Cerca Buscador,ft-skin--cerca-buscador,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Stilo,stilo,12/02/2026,ALL,ALL,REVISTAS,FALSE,FALSE,
Tag,tag,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Tiene Tapbar,has-tapbar,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Viajar,viajar,12/02/2026,ALL,ALL,REVISTAS,FALSE,FALSE,
Vídeos,videos,12/02/2026,ALL,ALL,ALL,TRUE,FALSE,
Woman,woman,12/02/2026,ALL,ALL,REVISTAS,FALSE,FALSE,
Alhaurín de la Torre,alhaurindelatorre,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,La Opinión de Málaga
Alto Guadalquivir,altoguadalquivir,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,Diario Córdoba
Cerca,cerca,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,Diario Córdoba
Cerca,cerca,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,El Correo de Andalucía
Cerca,cerca,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,La Opinión de Málaga
Coín,coin,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,La Opinión de Málaga
Diario de Córdoba,diario-cordoba,12/02/2026,Andalucía,AND,REGIONALES,FALSE,FALSE,
El Correo de Andalucía,el-correo-de-andalucia,12/02/2026,Andalucía,AND,REGIONALES,FALSE,FALSE,
La Opinión de Málaga,la-opinion-de-malaga,12/02/2026,Andalucía,AND,REGIONALES,FALSE,FALSE,
La Recogía,la-recogia,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,El Correo de Andalucía
Pasatiempos,pasatiempos,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,Diario Córdoba
Pasatiempos,pasatiempos,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,El Correo de Andalucía
Pasatiempos,pasatiempos,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,La Opinión de Málaga
Torremolinos,torremolinos,12/02/2026,Andalucía,AND,REGIONALES,FALSE,TRUE,La Opinión de Málaga
Campo de Belchite,campodebelchite,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Campo de Borja,campodeborja,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Campo de Cariñena,campodecarinena,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Cerca,cerca,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Cuencas Mineras,cuencasmineras,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Ejea y sus Pueblos,ejeaysuspueblos,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
El Periódico de Aragón,el-periodico-de-aragon,12/02/2026,Aragón,AR,REGIONALES,FALSE,FALSE,
Huesca,huesca,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
La Crónica de Valdejalón,lacronicadevaldejalon,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Pasatiempos,pasatiempos,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Ribera Alta del Ebro,riberaaltadelebro,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Ribera de Navarra,riberadenavarra,12/02/2026,Aragón,AR,REGIONALES,FALSE,TRUE,El Periódico de Aragón
Adelantados,adelantados,12/02/2026,Asturias,AST,REGIONALES,FALSE,TRUE,La Nueva España
Asturias Exterior,asturiasexterior,12/02/2026,Asturias,AST,REGIONALES,FALSE,TRUE,La Nueva España
